time,name,location,salinity_raw_ppm,salinity_factor,salinity_ppm,comment,sal,salinity_g.l-1,density_kg.m-3
2023-05-12,RD2-300,E300,,,680.0,,680.0,1.7286420699293643,1001.2347443356638
2023-05-12,RD1-150,F150,,,460.0,,460.0,1.1693755178933936,1000.8352682270668
2023-05-12,RD1-200,F200,,,1600.0,,1600.0,4.067393105716151,1002.9052807897973
2023-05-12,RD1-300,F300,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2023-05-12,ND1-150,G150,,,380.0,,380.0,0.9660058626075859,1000.6900041875768
2023-05-12,ND1-200,G200,,,1600.0,,1600.0,4.067393105716151,1002.9052807897973
2023-05-12,ND1-300,G300,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2023-05-12,ND2-150,H150,,,270.0,,270.0,0.6863725865896005,1000.4902661332783
2023-05-12,ND2-200,H200,,,1100.0,,1100.0,2.796332760179854,1001.9973805429856
2023-05-12,ND2-300,H300,,,1500.0,,1500.0,3.8131810366088916,1002.7237007404349
2023-05-12,ND3-150,I150,,,440.0,,440.0,1.1185331040719417,1000.7989522171943
2023-05-12,ND3-200,I200,,,1300.0,,1300.0,3.304756898394373,1002.3605406417103
2023-05-12,ND3-300,I300,,,1200.0,,1200.0,3.0505448292871136,1002.178960592348
2023-05-12,ditchCD,ditchA,,,960.0,,960.0,2.4404358634296908,1001.7431684738783
2023-05-12,ditchRD,ditchF,,,350.0,,350.0,0.8897422418754081,1000.6355301727682
2023-06-29,CD1-150,A150,,,81.0,,81.0,0.20591177597688018,1000.1470798399835
2023-06-29,CD1-200,A200,,,100.0,,100.0,0.25421206910725946,1000.1815800493623
2023-06-29,CD1-300,A300,,,270.0,,270.0,0.6863725865896005,1000.4902661332783
2023-06-29,CD2-150,B150,,,210.0,,210.0,0.5338453451252448,1000.3813181036609
